Country,LandArea,Population,Energy,Rural,Military,Health,HIV,Internet,Developed,BirthRate,ElderlyPop,LifeExpectancy
Burkina Faso,273600,15233884,,80.4,12.1,16.3,1.2,0.9,,47.2,2,53
Burundi,25680,8074254,,89.6,,11.8,3.5,0.8,,34.5,2.8,50.4
Cambodia,176520,14562008,5220,78.4,13.9,9,0.6,0.5,1,24.7,3.4,61
Cameroon,472710,19088385,7102,43.2,0,6.1,5.3,3.8,1,36.9,3.6,51.1
Canada,9093510,33311400,266771,19.6,7.4,17.2,0.2,75.3,3,11.3,13.6,81
Cape Verde,4030,498672,,40.4,2.1,10.1,,20.6,,24.1,4.3,71
Cayman Islands,240,54248,,0.0,,,,42.4,,,,
Central African Republic,622980,4339263,,61.4,,11,5.1,0.4,,35.4,3.9,47
Chad,1259200,10913667,,73.3,,13.8,3.4,1.2,,45.7,2.9,48.7
Channel Islands,190,149581,,68.9,,,,,,9.3,15,79.1
Chile,743530,16803952,31446,11.6,17.9,15.6,0.4,32.5,2,14.9,8.8,78.6
China,9327480,1324655000,2116427,56.9,16.1,10.3,,22.5,1,12.1,7.9,73.1
Colombia,1109500,45012096,30770,25.5,18.4,18.3,0.5,38.5,1,20.4,5.4,73
Comoros,1860,643571,,71.9,,8,0.1,3.6,,32.4,3.1,65.3
"Congo, Dem. Rep.",2267050,64256635,22250,66.0,,17.5,,0.5,1,44.9,2.6,47.6
"Congo, Rep.",341500,3615152,1368,38.7,,5.3,3.5,4.3,1,34.5,3.8,53.6
Costa Rica,51060,4519126,4897,36.7,,26.1,0.3,32.3,1,16.7,6.2,78.9
Cote d'Ivoire,318000,20591302,10278,51.2,8.8,4.6,3.7,3.2,1,35,3.8,57.4
Croatia,55960,4434000,9075,42.7,5.4,17.6,0.1,44.1,2,9.9,17.2,75.9
Cuba,106440,11204735,12056,24.3,,15.5,0.1,12.9,1,10.5,11.6,78.7
Cyprus,9240,862434,2586,30.1,2.5,5.8,,42.3,3,11.5,12.8,79.7
Czech Republic,77250,10424336,44632,26.5,3.8,13.3,0.1,62.3,3,11.5,14.7,77
Denmark,42430,5493621,19010,13.3,3.8,15.3,0.2,84.5,3,11.8,15.9,78.4
Djibouti,23180,849245,,12.7,,15.3,2.6,2.3,,28.4,3.2,55.4
Dominica,750,73193,,26.1,,11.8,,37.6,,,,
Dominican Republic,48320,9952711,8162,31.0,3.8,10.4,0.9,20.8,1,22.5,5.9,72.6
Ecuador,248360,13481424,10346,34.4,,6.9,0.4,9.7,1,20.8,6.4,75.1
"Egypt, Arab Rep.",995450,81527172,70710,57.3,7.6,5.9,0.1,16.6,1,24.7,4.5,70.1
El Salvador,20720,6133910,4882,39.3,2.9,11.9,0.8,10.6,1,20.2,7,71.3
Equatorial Guinea,28050,659197,,60.6,,7,4.7,1.8,,38,3,50.2
Eritrea,101000,4926877,681,79.3,,3,0.8,4.1,,37,2.4,59.5
Estonia,42390,1340675,5398,30.5,6.9,11.9,1.2,70.6,3,12,17,73.8
Ethiopia,1000000,80713434,31704,83.0,,11.5,,0.4,1,38.2,3.1,55.2
Faeroe Islands,1390,48511,,58.6,,,,77.3,,,,
Fiji,18270,844046,,47.6,,10.2,0.1,12.2,,20.9,4.6,68.9
Finland,303900,5313399,35255,36.7,3.8,12.6,0.1,83.5,3,11.2,16.5,79.6
France,547660,62277432,266495,22.6,5.2,16,0.4,70.4,3,12.9,16.6,80.9
French Polynesia,3660,265702,,48.4,,,,33.9,,18,5.7,74.5
Gabon,257670,1448159,2073,15.0,,6.6,5.3,6.2,1,27.3,4.3,60.4
"Gambia, The",10000,1660200,,43.6,,11.6,1.7,6.9,,36.8,2.8,55.9
Georgia,69490,4307011,2988,47.3,29.3,7.3,0.1,23.8,1,12.1,14.5,71.5
Germany,348630,82110097,335284,26.4,4.5,18,0.1,78.1,3,8.3,20,79.7
Ghana,227540,23350927,9459,50.0,1.9,8.5,1.8,4.3,1,32.4,3.6,56.6
Gibraltar,10,31032,159,0.0,,,,58,3,,,
Greece,128900,11237094,30419,39.0,7.7,13,0.1,40.8,3,10.5,18.2,79.9
Greenland,410450,56328,,16.5,,,,63.9,,14.8,,68.4
Grenada,340,103538,,69.2,,11.3,,23.2,,19.4,7.2,75.3
Guam,540,175552,,6.8,,,,48.4,,18.3,6.8,75.6
Guatemala,107160,13686128,8072,51.4,3.6,15.9,0.8,14.3,1,33,4.4,70.3
Guinea,245720,9833055,,65.6,,4.3,1.4,0.9,,39.6,3.2,57.8
Guinea-Bissau,28120,1575446,,70.2,,4,2.5,2.4,,41.2,3.4,47.8
Guyana,196850,763437,,71.6,,14.5,1.2,26.9,,17.9,5.9,67.1
Haiti,27560,9876402,2773,53.2,,9.5,2,10.1,1,27.6,4.3,61.2
Honduras,111890,7318789,4624,52.1,3.8,15.5,0.8,9.6,1,27.5,4.2,72.2
"Hong Kong SAR, China",1042,6977700,14138,0.0,,,,59.1,3,11.3,12.5,82.3
Hungary,89610,10038188,26458,32.5,2.7,10.2,0.1,60.9,2,9.9,16.1,73.7
Iceland,100250,317414,5255,7.7,0.1,13.1,0.3,90.5,3,15.2,11.7,81.3
India,2973190,1139964932,620973,70.5,14.7,4.4,0.3,4.5,1,22.8,4.8,63.7
Indonesia,1811570,227345082,198679,48.5,5.3,6.2,0.2,7.9,1,18.6,5.9,70.8
"Iran, Islamic Rep.",1628550,71956322,202053,31.5,12.2,8.7,0.2,32,1,18.9,4.9,71.4
Iraq,437370,30711152,33992,33.4,0,3.1,,1,1,31.2,3.3,67.9
Ireland,68890,4425675,14981,38.7,1.6,16,0.2,65.5,3,17,11.1,79.1
Isle of Man,570,80543,,49.2,,,,,,,,
Israel,21640,7308800,22009,8.3,17.1,10,0.2,47.9,3,21.5,10,81
Italy,294140,59832179,176032,31.9,4.2,13.6,0.3,44.4,3,9.6,20.1,81.2
Jamaica,10830,2687200,4387,46.7,1.6,5.7,1.7,57.3,2,16.7,7.7,71.8
Japan,364500,127704000,495838,33.5,,17.9,0.1,75.2,3,8.7,21.4,82.6
Jordan,88240,5812000,7061,21.6,18.1,16.3,,27.4,1,25.7,3.6,72.7
Kazakhstan,2699700,15674000,70921,42.1,7.9,8.3,0.1,10.9,2,22.8,7.4,67
Kenya,569140,38765312,18021,78.4,8.9,5.8,6.3,8.7,1,38.8,2.7,54.2
Kiribati,810,96558,,56.2,,16.8,,2.1,,,,
"Korea, Dem. Rep.",120410,23818753,20260,37.3,,,,,1,13.7,9.4,67.2
"Korea, Rep.",96920,48607000,226946,18.5,13.6,12.3,0.1,80.2,3,9.4,10.4,79.8
Kosovo,10887,1795000,,0.0,,,,,,19,,69.4
Kuwait,17820,2728040,26291,1.6,14.4,6.1,,36.7,3,17.7,2.1,78
Kyrgyz Republic,191800,5277900,2860,63.7,21.4,11.5,0.2,16.1,1,24.4,5.4,67.4
Lao PDR,230800,6205341,,69.1,3.6,3.7,0.2,3.5,,27.3,3.6,65
Latvia,62190,2266094,4484,31.9,6.4,10.2,0.6,63.2,2,10.6,17.2,72.4
Lebanon,10230,4193758,5242,13.0,13.1,12.3,0.1,22.5,1,15.7,7.3,72
Lesotho,30360,2049429,,74.5,3.1,8.2,23.6,3.6,,28.9,4.7,45
Liberia,96320,3793400,,39.9,,17.2,1.6,0.5,,38.3,3.1,58.3
Libya,1759540,6294181,18221,22.5,,5.5,,5.1,2,23.3,4.1,74.3
Liechtenstein,160,35629,,85.7,,,,66,,9.9,,82.6
Lithuania,62670,3358115,9177,33.0,4.9,12.8,0.1,54.6,2,10.4,16,71.8
Luxembourg,2590,488650,4119,17.6,,13.7,0.3,80.9,3,11.5,14,80.1
"Macao SAR, China",28,526178,,0.0,,,,49.2,,8.2,7.1,80.7
"Macedonia, FYR",25230,2041342,3103,33.1,5.8,13.6,,46,2,10.9,11.6,74.2
Madagascar,581540,19110941,,70.5,9.3,14.6,0.2,1.7,,35.9,3.1,60.3
Malawi,94080,14846182,,81.2,,12.1,11.2,2.1,,40.2,3.1,53.1
Malaysia,328550,27014337,72748,29.6,9.8,6.9,0.5,55.8,2,20.4,4.6,74.4
Maldives,300,305027,,62.1,,13.8,0.1,23.5,,18.7,4.3,71.6
Mali,1220190,12705736,,67.8,14.7,11.1,1,1.6,,42.6,2.3,48.4
Malta,320,411950,819,5.7,1.5,12.3,0.1,49.5,2,10,14,79.4
Marshall Islands,180,59667,,28.9,,14.6,,3.7,,,,
Mauritania,1030700,3215043,,59.0,,4.9,0.7,1.9,,33.6,2.6,56.7
Mauritius,2030,1268854,,57.5,,8.3,0.9,22.2,,12.9,7,72.6
Mayotte,370,191187,,0.0,,,,,,25.1,3.1,76.1
Mexico,1943950,106350434,180605,22.8,,15,0.3,21.9,1,18.3,6.2,75.1
"Micronesia, Fed. Sts.",700,110414,,77.5,,18.9,,14.5,,25.3,3.7,68.6
Moldova,32890,3633369,3150,58.2,1.9,13,0.4,23.4,1,12.3,11.1,68.4
Monaco,2,32715,,0.0,,15.8,,,,,,
Mongolia,1553560,2641216,3152,42.8,,7.5,0.1,12.5,1,18.8,3.9,66.6
Montenegro,13450,622344,,39.8,,13.6,,41,,12.1,12.8,74.1
Morocco,446300,31605616,14977,44.0,10.9,6.6,0.1,32.6,1,20.4,5.3,71.3
Mozambique,786380,22382533,9314,63.2,,12.6,11.4,1.6,1,39.2,3.2,47.9
Myanmar,653520,49563019,15669,67.4,,0.7,0.6,0.2,1,20.5,5.5,61.6
Namibia,823290,2129854,1752,63.2,,12.1,13.7,5.3,1,27.6,3.6,61
Nepal,143350,28809526,9799,82.8,,11.3,0.4,1.7,1,25.4,4,66.7
Netherlands,33760,16445593,79681,18.2,3.5,16.2,0.2,87.9,3,11.2,14.7,80.3
Netherlands Antilles,800,195253,2163,7.3,,,,,3,13.3,10.1,76
New Caledonia,18280,246705,,35.2,,,,34.5,,16.2,7.2,76.1
New Zealand,263310,4268900,16935,13.4,,18.3,0.1,71.4,3,15.2,12.5,80.4
Nicaragua,120340,5667325,3520,43.3,3.2,18.7,0.2,3.3,1,24.6,4.4,73.1
Niger,1266700,14704318,,83.5,,14.8,0.8,0.5,,53.5,2,51.4
Nigeria,910770,151212254,111156,51.6,10.8,6.4,3.6,15.9,1,39.8,3.1,47.9
Northern Mariana Islands,460,85364,,8.9,,,,,,,,
Norway,305470,4768212,29670,22.5,4.2,16.7,0.1,90.5,3,12.7,14.6,80.6
Oman,309500,2785361,16443,28.4,,4.9,0.1,20,2,22,2.9,75.9
Pakistan,770880,166111487,82839,63.8,18,3.1,0.1,11.1,1,30.1,4,66.5
Palau,460,20279,,19.5,,16.6,,,,,,
Panama,74340,3398823,2899,26.8,,13.5,0.9,27.6,1,20.6,6.4,75.7
Papua New Guinea,452860,6576822,,87.5,,7.4,0.9,1.8,,31.4,2.4,61.1
Paraguay,397300,6237855,4360,39.7,5.8,12.3,0.3,14.3,1,24.6,5,71.9
Peru,1280000,28836700,14710,28.6,6.5,15.6,0.4,24.7,1,21.1,5.7,73.3
Philippines,298170,90348437,41067,35.1,4.9,6.1,0.1,6.2,1,24.7,4.1,71.8
Poland,304220,38125759,97881,38.7,5.7,10.9,0.1,53.1,2,10.9,13.3,75.5
Portugal,91470,10622413,24159,40.5,4.8,15.4,0.5,44.4,2,9.8,17.5,78.5
Puerto Rico,8870,3954553,,1.7,,,,25.3,,11.8,13.3,78.6
Qatar,11590,1280862,24118,4.4,,6.8,0.1,25.5,3,12.1,1.1,75.9
Romania,229900,21513622,39380,45.8,4.4,11.8,0.1,32.2,1,10.3,14.9,72.6
Russian Federation,16376870,141950000,686757,27.2,16.3,9.2,1,32,3,12.1,13.3,67.8
Rwanda,24670,9720694,,81.7,,18.2,2.9,3.1,,41.1,2.5,50.1
Samoa,2830,178869,,77.0,,14.9,,5,,23.5,4.8,71.8
San Marino,60,31031,,5.8,,13.6,,54.8,,11,,82.8
Sao Tome and Principe,960,160174,,39.4,,13.2,,15.5,,32.1,4.1,65.5
Saudi Arabia,2000000,24807000,161600,17.6,,8.4,,31.3,3,23.4,2.9,73.1
Senegal,192530,12211181,2859,57.6,,11.9,0.8,7.1,1,38.4,2.4,55.6
Serbia,88360,7350221,16032,48.0,6.1,14.1,0.1,49.8,2,9.4,14.5,73.6
Seychelles,460,86956,,45.7,3.1,10.1,,39,,17.8,,73.2
Sierra Leone,71620,5559853,,62.2,11.2,4.2,1.6,0.3,,40.3,1.9,47.6
Singapore,700,4839400,18523,0.0,26.7,7.8,0.1,69.6,3,10.2,9.4,80.7
Slovak Republic,48100,5406626,18304,43.4,4.6,15.4,0.1,71.2,3,10.6,12,74.7
Slovenia,20140,2021316,7735,51.4,4.1,12.9,0.1,57.5,3,10.8,16,78.8
Solomon Islands,27990,510672,,82.0,,14.4,,2,,30.4,3.1,66.3
Somalia,627340,8926326,,63.5,,,0.6,1.1,,44.1,2.7,49.8
South Africa,1214470,48793022,134489,39.3,4.3,10.4,17.9,8.6,2,22,4.4,51.5
Spain,499110,45555716,138793,22.9,4.6,15.2,0.4,58.2,3,11.4,16.9,81.9
Sri Lanka,62710,20156204,8935,84.9,18.5,7.9,0.1,5.8,1,18.8,7.3,74.1
St. Kitts and Nevis,260,49189,,67.7,,8,,32.5,,,,
St. Lucia,610,170204,,72.2,,10.8,,58.8,,,6.8,
St. Vincent and the Grenadines,390,109117,,53.0,,9.5,,60.5,,17.6,6.9,71.7
Sudan,2376000,41347723,15372,56.6,,9.8,1,10.2,1,31.3,3.6,58.1
Suriname,156000,515124,,25.1,,13.6,1,21.1,,19,6.3,69
Swaziland,17200,1167834,,75.1,,8.5,25.9,6.9,,29.9,3.3,45.8
Sweden,410340,9219637,49592,15.5,,13.8,0.1,89,3,11.9,17.7,81.1
Switzerland,40000,7647675,26701,26.5,4.7,19.9,0.4,68.9,3,10,16.7,82
Syrian Arab Republic,183640,20581289,19701,45.8,,4.6,,17.3,1,28,3.2,74.2
Tajikistan,139960,6836083,2493,73.5,,5,0.2,8.8,1,28.1,3.7,66.7
Tanzania,885800,42483923,18957,74.5,,18,5.8,1.2,1,41.5,3.1,55.6
Thailand,510890,67386383,107199,66.7,8.3,14.2,1.3,23.9,1,14.5,7.4,68.9
Timor-Leste,14870,1098386,,72.7,,11.9,,,,40,2.9,61.1
Togo,54390,6458605,2563,58.0,13,8,3.2,5.4,1,32.9,3.5,62.5
Tonga,720,103566,,75.2,,14.2,,8.1,,27.7,5.8,71.9
Trinidad and Tobago,5130,1333388,19410,86.8,,8.8,1.5,34.2,3,14.8,6.6,69.3
Tunisia,155360,10327800,9178,33.5,4.4,10.4,0.1,27.1,1,17.7,6.7,74.3
Turkey,769630,73914260,98502,31.3,9.7,12.8,0.1,34.4,1,18.2,5.8,71.9
Turkmenistan,469930,5043618,18814,51.4,,7,,1.5,1,21.9,4.3,64.8
Turks and Caicos Islands,950,32664,,8.1,,,,,,,,
Tuvalu,30,,,50.5,,8,,,,,,
Uganda,197100,31656865,,87.0,17,10.5,6.4,7.9,,46.2,2.6,52.7
Ukraine,579320,46258200,136143,32.0,7.2,8.6,1.1,22.5,2,11,15.9,68.3
United Arab Emirates,83600,4484935,58439,22.1,,8.9,,72,3,14,1,77.7
United Kingdom,241930,61406928,208450,10.1,5.8,15.1,0.2,78.2,3,12.9,16.3,79.6
United States,9147420,304375000,2283722,18.3,18.6,18.7,0.6,75.8,3,14.3,12.6,78.4
Uruguay,175020,3334052,4181,7.7,5.2,13.8,0.5,40.2,1,14.6,13.7,76
Uzbekistan,425400,27313700,50501,63.2,,8.6,0.1,9,1,21.7,4.6,67.8
Vanuatu,12190,233866,,75.2,,13.5,,7.3,,30.2,3.3,70.3
"Venezuela, RB",882050,27935000,64097,6.7,,8.4,,25.9,2,21.2,5.3,73.5
Vietnam,310070,86210781,59415,72.2,,9.3,0.4,24.2,1,17.2,6.3,74.4
Virgin Islands (U.S.),350,109840,,5.1,,,,27.3,,12.3,12.8,78.9
West Bank and Gaza,6020,3937309,,28.1,,,,9,,35.5,2.9,73.5
"Yemen, Rep.",527970,22917485,7478,69.4,,4.3,,1.6,1,36.8,2.4,62.9
Zambia,743390,12620219,7355,64.6,,15.3,13.6,5.5,1,42.9,3,45.4
Zimbabwe,386850,12462879,9506,62.7,,,15.1,11.4,1,29.9,4,44.2
